episode,reward,length,loss
403,-126.28084194657991,154,-1.869494915008545
404,-52.255019026340065,119,-9.695218086242676
405,-148.9645162247037,110,-0.18428897857666016
406,-95.68487871340454,157,-9.307028770446777
407,-103.68804159562494,155,-2.631906509399414
408,-138.4745917327769,102,1.7785999774932861
409,-63.90345125045713,193,-3.663475751876831
410,-56.05844196910139,113,-7.388323783874512
411,-113.83722461522996,130,-0.18358314037322998
412,-199.19610570983815,144,4.246167182922363
413,-73.20638566307287,122,0.34466052055358887
414,-79.20961907358351,94,-5.044193267822266
415,-108.31272037782614,263,3.4323043823242188
416,-73.98762864080223,119,-0.24709248542785645
417,-280.7832641343228,218,-1.5316767692565918
418,-55.30410621669824,162,-9.550372123718262
419,-66.0517860231165,178,-8.662315368652344
420,-280.65248185663995,151,13.508505821228027
421,-60.93677469706067,88,-7.6394195556640625
422,-66.78558324683092,162,-6.582245826721191
423,-86.39455509849668,177,4.971097469329834
424,-456.42081423954676,145,9.222757339477539
425,-93.62851830465169,131,-7.648831844329834
426,-79.48244323861171,168,-1.037775993347168
427,-188.9263844884909,235,-7.143697738647461
428,-177.05660251235443,244,0.012135744094848633
429,-153.0968991235406,184,-0.33172178268432617
430,15.487065980413306,261,14.248968124389648
431,-89.09937929196991,176,-10.90550708770752
432,-205.41705489063781,142,3.052178382873535
433,-144.05509027961313,147,-6.462123870849609
434,-59.87065997066035,220,9.237447738647461
435,-161.3228719498121,150,-0.843414306640625
436,-61.47238324803881,87,-5.895193099975586
437,-189.73692707931144,163,5.135015487670898
438,-55.45045984749365,161,-8.063469886779785
439,-65.69550358237167,101,1.4338436126708984
440,-225.23651490339634,184,-11.856817245483398
441,-70.35720431086598,189,6.11790657043457
442,-166.77519554303063,130,-4.845631122589111
443,-29.63565697503323,146,-0.07877075672149658
444,-74.65522399581532,122,-3.2225823402404785
445,-162.49310001830378,152,-2.7623391151428223
446,-444.87044908116843,192,-0.2728297710418701
447,-136.8633981752264,154,-8.13980484008789
448,-30.02442565470551,136,-0.4721895456314087
449,-61.981032240923696,193,-11.66294002532959
450,-106.50341525389943,77,0.39526689052581787
451,-39.109621053465986,129,-3.5175983905792236
452,-45.30960466607642,129,-5.680245399475098
453,-80.254703692158,160,-1.5864202976226807
454,-254.50029869034233,148,0.6851832866668701
455,-91.13474385778184,100,0.31102538108825684
456,-59.080148844366605,139,5.157315254211426
457,-108.86575785228702,136,6.466109752655029
458,-186.31847209207064,105,-4.94947624206543
459,-107.68615786630853,175,1.9304542541503906
460,-242.19001640186028,153,-1.9144508838653564
461,-70.6881403362905,134,3.294290542602539
462,-37.22669547460977,155,-4.516355514526367
463,-155.8184675076718,104,-0.7654191851615906
464,-100.60740350409131,119,-4.2756476402282715
465,-50.39213949067473,138,-7.07918643951416
466,-98.72941048862698,137,-5.1146039962768555
467,-182.17385647856682,173,-8.245261192321777
468,-59.74399946260205,147,6.502076148986816
469,-113.67129502237836,186,-6.569522857666016
470,-259.34488746163913,148,1.9698138236999512
471,-34.61598948156481,145,-0.08997249603271484
472,-226.79365831020795,203,2.5508651733398438
473,-88.58179767789814,110,1.5512001514434814
474,-155.47806801163992,165,7.988179683685303
475,-31.4815249246563,122,4.386657238006592
476,-48.04803140964381,147,6.614475727081299
477,-106.70705389482585,147,-0.6793785095214844
478,-54.83590634009397,163,0.5390485525131226
479,-27.376872831944382,155,3.6159703731536865
480,-132.66611026852755,227,-1.7650659084320068
481,-190.6031342946914,138,1.0909745693206787
482,-122.82082247049202,140,-3.7592811584472656
483,-39.43181721780003,94,-1.9047118425369263
484,-24.863982478650087,159,5.55702018737793
485,-147.17935442357313,164,-9.04879379272461
486,-37.530237730132086,166,3.685994863510132
487,-68.71763616764255,160,1.724353313446045
488,-59.430975934673185,138,-2.074812650680542
489,-86.8281092237864,101,2.0941524505615234
490,-51.893546183303776,103,-2.0859665870666504
491,-55.070493669290244,89,-2.379664421081543
492,-160.38678501357936,102,-2.1582021713256836
493,-94.62839302662852,75,-5.069489002227783
494,-61.66991393466938,88,0.43119877576828003
495,-63.15555599593727,159,-3.449713706970215
496,-42.06310184772672,87,2.4845709800720215
497,-79.17675740117114,169,-6.021480083465576
498,-74.21923291324924,89,-0.2233811616897583
499,-108.2631008037593,118,-1.7964158058166504
500,-76.19869562942361,145,6.094733238220215
501,-94.92089593266384,120,8.424084663391113
502,-114.50956938879118,149,-5.0911712646484375
503,-26.131018595137306,89,-7.723995208740234
504,-72.24588257275197,73,-3.0377326011657715
505,-61.67415584628038,99,-2.819981336593628
506,-108.85424456907894,180,-6.262760162353516
507,-77.14083361893475,93,5.643670558929443
508,-77.00992666126697,118,-2.0114340782165527
509,-73.81427013296846,148,-2.1726787090301514
510,-135.26983144282963,91,-4.262444496154785
511,-63.36891152614748,86,-2.8510751724243164
512,-251.15512691765045,152,1.9543248414993286
513,-126.08653732658517,154,-3.3692479133605957
514,-75.4609711721074,79,-0.8850212693214417
515,-42.9758120493845,81,-0.28442955017089844
516,-72.35997976340246,77,2.552504062652588
517,-103.33423074840547,97,-12.90650749206543
518,-244.69412193117498,96,5.531353950500488
519,-175.25270400528643,124,-2.839247226715088
520,-43.33387261350023,142,-7.351097106933594
521,-139.33640364223072,127,3.3291189670562744
522,-11.593233413288317,162,1.258955717086792
523,-102.39101169461952,88,-11.917308807373047
524,-29.224965934371852,82,-5.265890121459961
